River Basin,Spill Hours
Holmes Dike catchment (trib of Ouse),124.27083333333333
Mole (Source to Burcombe Stream),124.18791666666668
Bradford Beck (Clayton Bk to R Aire),124.10041666666666
Leam - conf Rains Bk to conf R Itchen,123.57749999999999
Mag Brook from Source to River Holme,123.47208333333333
Trent from Tittensor to River Sow,123.26041666666666
Bollin (River Dean to Ashley Mill),122.58583333333333
Stanbridge Stream,122.41458333333333
Allen from Source to West Allen,122.14678240744979
Holme from Source to New Mill Dike,122.09375
Frome Dorset (Lower) u/s Louds Mill Dorchester,121.90277777809388
Blyth from Pont to Tidal Limit,121.63680555555766
Medway at Weir Wood,121.53291666666667
Penpont Water,121.52041666666668
Soar from Rothley Brook to Long Whatton Brook,121.29083333333334
Lowley Brook,120.93958333333333
Yarrow Culbeck Brook to tidal,120.855
Brue - Clyce Hole to conf North Drain,120.78611273080605
Langham Lake,120.76791666666665
Evenlode (Bledington to Glyme confluence),120.59375
Doe Lea from Hawke Brooke to River Rother,120.14583333333333
Cerney Wick Brook (source to Thames),119.61458333333333
Eye / Wreake from Langham Brook to Soar,119.35291666666666
Shill Brook and Tributaries,119.22916666666667
Clayhill Brook,119.20833333333333
Louth Canal,118.69624999999999
Mease from Source to Gilwiskaw Brook,118.48166666666667
HUMBER UPPER,118.29833333333333
"Clayton and Wormleighton Brook, Source to Highfurlong Brook",118.05208333333333
Lydden (Middle),117.70763888842339
N Tyne from Tarset Burn to River Rede,117.62278935185896
Doe Lea from Source to Hawke Brook,117.52416666666666
Nidd from Low Bridge on Briggate (Knaresborough) to Crimple Beck,117.50333333333333
Soar from Sence to Rothley Brook,117.33083333333333
Savick Brook,116.8
Combe Lake,116.67333333333333
Kent South,116.67
Platt Brook (Source to Fallowfield Bk),116.61708333333334
Adur (Burgess Hill),116.05666666666667
Sutton Bingham Stream - East Arm,115.89375000014843
Thurlaston Brook Catchment (trib of Soar),115.84333333333333
Bridgehouse Beck from Source to River Worth,115.63541666666667
Ancholme from Bishopbridge to the Humber,115.5375
Wellow Bk - Snails Bk to Bristol Avon,115.50844907616556
Lumburn,115.48958333333333
Sankey Brook (Rainford Brook to Mersey),115.45541666666666
Lower Bovey,115.27166666666668
Twizell Burn from Source to Cong Burn,114.98315972223517
Ampney and Poulton Brooks (Source to Thames),114.97916666666667
Crake,114.64666666666666
Severn River and Trib Estuary,114.59125
Bolingey Stream,114.57833333333332
Low/Wortley/Pudsey Bks,114.52458333333333
Folly Brook and Salteye Brook.,114.47375
Astley Brook (Mersey),114.06
Moorhouse Beck (Trib of Goosemoor Dyke),113.19791666666667
PARRETT,113.09808495526522
Isle - Cad Bk to Fivehead River,112.69794560249284
Abberd Bk - source to conf R Marden,112.51111111159844
Birkin Brook - Source to Mobberley Brook,112.49208333333333
Marden - source to conf Cowage Bk,112.07638888869405
Caul Bourne,112.03458333333333
Blackfoss Bk lower Catch (trib of Pocklington Bk),111.94791666666666
Wonston Brook,111.18680555661558
Hammer Stream,111.09041666666667
Dane (Wheelock to Weaver),111.06833333333334
Trent from Dove to Derwent,110.97041666666668
Lymington River,110.86708333333333
Car Dyke,110.76208333333334
Stour (Lower),110.38325254773372
Esk from Sleddale Beck to Ruswarp,110.05541666666667
Medlock (Lumb Brook to Irwell),109.825
WEAR,109.72608796289214
Mearley Brook,108.99874999999999
Piall,108.9525
Poulter from Source to Millwood Brook,108.87416666666667
Tone - Wellington to Taunton,108.49236110950005
Countesthorpe Brook from Source to Sence,108.32208333333334
Dearne from Source to Bentley Brook,108.15291666666667
Rother from Source to Redleadmill Brook,107.94791666666666
Silkstone Beck from Source to Cawthorne Dyke,107.65625
Browney from Smallhope Burn Deerness confl,107.64714120352437
"Mill Brook and Bradfords Brook system,  Wallingford",107.0
Kingsclere Brook (Source to Enborne),106.76041666666667
Costa Beck from Pickering Beck to R Rye/Ackland Beck,106.51041666666667
Lydden (Upper),106.23749999984284
Oakhanger Stream,106.10416666666666
Beechburn Beck (Trib of Wear),105.91666666656965
Somerset Frome conf with Mells to conf B. Avo,105.79227453682688
Wyre DS Grizedale Brook confl,105.52166666666668
"Welton Village Trib, Whilton branch of R. Nene",105.26958333333332
Cripsey Brook,105.21875
Sherston Avon,104.77430555476167
Polly Brook,104.60458333333334
Lune - headwaters to conf Birk Beck,104.43958333333333
Waver,104.28166666666667
Black Brook (Upper Mersey),103.99375
Lew (Tamar),103.75916666666666
Ribble - Brants Ghyll to conf Stainforth Beck,103.35625
Jordan (East Suffolk),103.2925
Meanwood Beck from Source to River Aire,103.06291666666667
Drone/Whitting from Source to River Rother,102.96166666666666
Nene - conf Ise to Islip,102.77208333333333
Back Stream,102.76318564805115
Wince Brook,102.59416666666667
ROTHER,102.07833333333333
Soar from Soar Brook to Thurlaston Brook,101.99208333333333
Brit (Upper),101.98819444550463
Keekle (lower),101.59
St Austell River,101.36375
Sheaf from Source to River Don,101.13208333333333
Cherwell (Cropredy to Nell Bridge),100.92833333333334
Rea Bk - conf Pontesford Bk to conf R Severn,100.87291666666667
Eamont (Upper),100.70583333333333
Middle Ouse,100.66666666666667
Gaywood River,100.16958333333334
Sheppey,99.75513599655824
Middle Kennet (Marlborough to Hungerford),99.57291666666666
Pagham Rife,99.53166666666667
Silverbridge Lake,99.27333333333334
Walmouth Beck from Source to River Riccal,99.1875
Lostock DS Farington Weir,98.08458333333334
Beult,98.06333333333333
Pitsford Arm of the Brampton Branch,98.05208333333333
Upper River Fal,97.75333333333333
Leen from Source to Day Brook,97.74291666666667
Pertenhall Brook,97.52
Tame from R Blythe to River Anker,97.11208333333333
Eden Brook,96.87708333333333
Croal (including Blackshaw Brook),96.83791666666667
Owler Beck from Source to River Calder,96.71166666666667
River Tweed,96.54572916675926
Dove from Source to River Dearne,96.51041666666667
Misbourne,96.4375
Grom,96.33500000000001
Kym,95.84
Manifold - source to conf R Dove,95.68958333333335
Nidd from Crimple Beck to River Ouse,95.66041666666666
Lyme Bay East,95.56646747311606
Thornton Beck Catch (Trib of Nidd),95.08333333333333
Erme,95.03458333333333
Arun (U/S Pallingham),95.00958333333334
Earby Beck from source to River Aire,94.82291666666667
Iwerne,94.69027777799784
Stour - conf Nethercote Bk to conf Back Bk,94.63333333333333
Laddon Bk - source to conf R Frome (Brist),94.36805555554747
LUNE,94.27499999999999
Stour (Upper),94.14444444447145
Oldcotes Dyke Catchment (trib of Ryton),94.10541666666667
Witham - conf Catchwater Drain to conf Bain,93.70875
Kird,93.67041666666667
Goyt (Sett to Etherow),93.2825
Wylye (Lower),93.04166666671517
Upper River Tavy,92.98958333333333
Carey,92.7625
Wye from Source to Monk's Dale,92.74874999999999
Nent from Source to South Tyne,92.57292824066826
Hooton Brook from Source to River Don,92.52083333333334
Doleham Ditch,92.18625
Clifton Beck from Source to River Calder,92.17
Severn - conf R Stour to conf RIver Teme,92.07083333333333
Flasby Beck from Source to Eshton Beck,91.94791666666667
Haw Beck from Source to Eller beck,91.90958333333333
Long Whatton Brook Catchment (trib of Soar),91.8025
Goyt (Randall Carr Brook to Sett).,91.72458333333333
Tonge,91.71583333333334
By Bk - conf Doncombe Bk to conf R Avon (Brist),91.67222222123382
Croxdale Beck from Source to Wear,91.38071759256563
Brookhouse Brook,90.78125
Doniford Stream,90.7749997694118
Swale from Wiske to River Ure,90.75
Cuckmere between Arlington and Lower Horsebridge,90.54958333333333
Anker from River Sence to River Tame,90.32083333333334
River Tyne,90.26984953691941
Cale,90.26300925933901
Elsted Stream,90.17166666666667
Alfreton Brook from Westwood Brook to Amber,90.12791666666666
Barlow Brook from Source to River Drone,90.07291666666667
Ouzel Brook,90.005
Willow Brook (Bristol Avon and North Somerset),89.92708333346673
Bottle Brook Catchment (trib of Derwent),89.84041666666666
Ure from River Tutt to River Swale,89.64583333333333
Nettleham Beck,89.51125
Eastern Yar (Upper),89.41916666666667
Thame upstream of Aylesbury,89.25625000000001
Littlestock Stream to tributary of Evenlode at Shipton,89.23958333333333
Oxon Ray (upstream A41 to Cherwell) including Otmoor,89.03125
Esk (Eden and Esk),88.83041666666666
Bearley Brook,88.80114583422255
Bull River from Foxhunt Green to Lower Horsebridge,88.72166666666666
Bristol Avon (Semington Bk to By Bk),88.68621215186431
Redleadmill Brook,88.13541666666667
Axe - Cocklake to Brean Cross Sluice,87.95972222275304
Cole (Acorn Bridge to Bower Bridge),87.75
Ely Ouse (South Level),87.69791666666666
Erewash from Nethergreen Brook to Gilt Brook,87.38166666666666
Northfield Brook (Source to Thames) at Sandford,87.32291666666667
Thame (Scotsgrove Brook to Thames),87.25
Queniborough Brook Catchment (trib of Wreake),87.19125
Mid Medway from Eden Confluence to Yalding,87.17416666666666
Coln (Source to Coln Rogers),87.16666666666667
Marske Beck from Source to River Swale,87.09375
Medlock (Source to Lumb Brook),87.01666666666667
Biddulph Brook,86.94500000000001
Ray Brook,86.90541666666667
Oak Beck Catchment (Trib of Nidd),86.71208333333334
Holbeck Catchment,86.38541666666667
Silchester Brook,86.27083333333333
Taw (Source to Bullow Brook),86.18375
Chelmer (Gt. Easton - R. Can),86.16958333333334
Tarra Carr Gutter,85.99291666666666
Diddington Brook,85.59916666666668
Cheddar Yeo - source to conf Stubbingham Rhyne,85.48118414599594
Dudwell,85.32083333333334
Evenlode (Source to Four Shires S) and Longborough Stream,85.18833333333333
"Arrow - source to Spernall Hall Fm, Studley",85.16624999999999
Shovelstrode Stream,85.10041666666667
Hilton Bk (trib of R Dove),84.84208333333333
Rookhope Burn from Source to Wear,84.74633101847576
Arun Source,84.64791666666666
Mersey/ Manchester Ship Canal  (Irwell/Manchester Ship Canal to B,84.64291666666666
Upper River Inny,84.61916666666666
Little Don from Source to River Don,84.60041666666667
Hedleyhope Burn from Source to Deerness,84.2483912036696
Bure (Horstead Mill to St Benet's Abbey),84.07291666666667
Lower Barle,83.95916666666666
Mease from Hooborough Brook to Trent,83.89791666666666
Swill Brook (source to Ashton Keynes),83.77638877294521
THAMES LOWER,83.72916666666666
Nene - Islip to tidal,83.46248842592591
Madresfield Bk - source to conf R Severn,83.37541666666667
Westwood Brook Catchment (trib of Alfreton Brook),83.30166666666666
Upper Creedy,83.25041666666667
Leigh Brook,83.23958333333333
Newlands Beck,83.1725
Weald Brook,82.95833333333333
Clayton Beck (Source to Bradford Bk),82.87833333333333
Avon - Tolsey Lane to conf R Severn,82.75958333333334
Fen Beck,82.15958333333333
Rede from Bellshiel Burn to N Tyne,82.0848379628369
Lathkill from Bradford to Wye,82.06083333333333
Tees from Percy Beck to River Greta,81.93238425922755
Ure from Thornton Steward Beck to River Skell,81.90625
Holgate Beck to Ouse,81.775
Blakes Gill,81.73333333333333
Thames (Churn to Coln),81.6825
Avon- Tramway Br Stratford to Workman Br Evesham,81.56625
Upper Axe,81.37041666666667
Henmore Brook Catch (trib of R Dove),81.30416666666666
Kensey,81.07000000000001
Upper Beult - High Halden and Bethersden Streams,81.02791666666667
Chinnock BK,80.89948252103932
Liverton Brook,80.86874999999999
"Liden Brook, Swindon",80.6875
New Mill Dike from Source to River Holme,80.59375
Ryton from Anston Brook to Idle,80.57083333333333
Don from Scout Dyke to the Little Don,80.52416666666666
Ant (Dilham to R. Bure),80.5
Bishop Wilton Beck Catch (trib of Blackfoss Beck),80.5
Ouse (Roxton to Earith),80.39
Till from Linhope Burn to Roddam Burn,80.35565972233599
Broad,80.34999999962747
Ford Brook (EXE),80.07625
Forton Brook,79.97833333333334
Blackdene Burn to confluence with Wear,79.91738425928634
Beal,79.7325
Nunney Bk - source to conf Mells R,79.6902777781288
Skitter Beck / East Halton Beck,79.455
Dove - conf R Manifold to conf R Churnet,79.42166666666667
Aldingbourne Rife,79.39583333333334
Tees from River Greta to River Skerne,79.34209490743442
Wansbeck from Ray Burn to Hart Burn,79.31023148149688
Ore,79.18208333333334
Meden from Source to Sookholme Brook,79.13875
Yeo Ds Over Compton,79.13402777806914
Kidsgrove Stream (including Day Green Stream),78.94666666666666
South Winterbourne,78.15292824136122
Lumley Park Burn from Source to Herrington Burn,78.10539351841726
Collingham Bk Catchment (trib of Wharfe),77.85416666666667
Seven from Catter Beck to River Rye,77.71875
Nadder (Middle),77.67986099698464
Bury Brook,77.625
Mersey Mouth,77.42583333333333
Tyelaw Burn Catchment (trib of Coquet),77.27094907400897
Cuttle Brook from Source to River Blythe,77.15
Tees Coastal,77.14322916673754
BLACKWATER,77.13625
Ginge Brook and Mill Brook,77.125
Cocker - conf Whit Beck to conf Derwent,77.04625
Amber from Press Brook to Alfreton Brook,77.00958333333334
Barrasford Burn Catchment (trib of N Tyne),76.91577546296321
Polperro River,76.89541666666666
Billingham Beck from Bishopton Bck to Brierle,76.7300694443984
Horton Heath Stream,76.7125
Summerstown Ditch and Launton and Cutters Brook,76.375
Dearne from Bentley Brook to Cawthorne Dyke,76.31958333333334
Arrow - conf R Alne to conf R Avon,76.17583333333333
Tame - conf two arms to R Rea,76.15833333333333
Glassonby Beck ,76.07375
Brain,75.97458333333333
Broughton Beck from Source to River Leven,75.89640046279965
Long Eau,75.81875000000001
Kyle from Derrings Beck to New Parks Beck,75.66666666666667
Severn conf M Wenlock-Farley Bk to conf R Worfe,75.65958333333333
Foulness from Black Beck to Market Weighton Canal,75.60416666666667
Tame (Source to Chew Brook),75.53625
Lower Batherm,75.52541666666667
Ding,75.44166666743695
Belford Burn from Source to Ross Low,75.3173379629443
Dove - R Churnet to R Trent,75.31333333333333
Lox Yeo - source to conf Rive Axe,75.00070451412466
Bollin (Source to Dean),74.87666666666667
Wampool (Upper),74.65958333333333
Hummer Beck from Source to Gaunless,74.59261574073753
Bullow Brook,74.52333333333333
Netherley Brook,74.46333333333334
Maun from Source to Vicar Water,74.42541666666666
Thorpe Waterville Brook,74.35125000000001
Pont Burn Catchment (trib of Derwent),74.21884259260696
Gilt Brook Catchment (trib of Erewash),74.13666666666667
Trent from Carlton-on-Trent to Laughton Drain,74.02166666666666
Medbourne Brook,73.6929050925926
Charlton Str - source to conf Bristol Avon,73.69241875124135
Little Mere River,73.60666666666667
Glynch Bk - source to conf R Leadon,73.48833333333333
Hems - Upper,73.36125
Don from Mill Dyke to River Ouse,73.12708333333333
Crimple Beck from Source to Park Beck,73.0725
East Stour,73.00708333333333
Lowman,72.91916666666667
Blackwater,72.8525
East Stream,72.68333333333334
Morecambe Bay,72.54541666666667
Anker from Wem Brook to River Sence,72.53166666666667
Frilford and Marcham Brook,72.25
